img_urls,titles,ratings,authors,details
https://img9.doubanio.com/view/subject/s/public/s33749775.jpg,堂斗,                                8.5                        ,[美]苏思纲/后浪丨上海文化出版社/2020-11,本书讲述了19世纪末20世纪初，纽约唐人街各堂口为争夺赌场、鸦片馆、妓院的控制权而爆发的厮杀混战，精彩再现了纽约四次大规模堂斗的全过程。
https://img2.doubanio.com/view/subject/s/public/s33734302.jpg,销声匿迹,                                7.8                        ,(美)玛丽·L.格雷(MaryL.Gray)/(美)西达尔特·苏里(SiddharthSuri)/世纪文景|上海人民出版社/2020-10-31,本书揭露了人工智能和数字经济背后隐藏的人类劳动力。这支看不见的线上就业大军既不存在于现有的法律中，也未得到固有文化的承认，而算法无意识的残酷又带来了诸多未知。...
https://img9.doubanio.com/view/subject/s/public/s33734635.jpg,复杂生命的起源,                                9.8                        ,[英]尼克·莱恩（NickLane）/后浪丨贵州大学出版社/2020-11,生命究竟为何沿着这么令人困惑的路径演化？生物化学家尼克·莱恩从生物能量角度，交给了我们一把有望解开生物起源之谜的钥匙。
https://img9.doubanio.com/view/subject/s/public/s33735344.jpg,草叶集,                                9.8                        ,[美]沃尔特·惠特曼/WaltWhitman/后浪丨江苏凤凰文艺出版社/2020-11,美国现代诗歌之父惠特曼奠定世界声誉之作
https://img9.doubanio.com/view/subject/s/public/s33719495.jpg,人类善恶小史,                                9.0                        ,[西]策妄·阿拉布坦/[智]亚历⼭德拉·雅科斯塔/浦睿文化·湖南⼈民出版社/2020-10,人类既有侵略、屠杀等种种罪恶行径，又有救援、互助的动人故事。本书以30余位大人物在关键时刻的抉择切入，检视人类的善恶抉择及其结果。
https://img3.doubanio.com/view/subject/s/public/s33746430.jpg,流浪猫战争,                                7.0                        ,[美]彼得·P.马拉[美]克里斯·桑泰拉/商务印书馆/2020-10,户外的家猫仅在美国每年就会杀死数以十亿计的小型脊椎动物。本书考察户外家猫对于生物多样性和公共卫生的冲击和影响，并试图围绕管理争议，给出解决方案。
https://img9.doubanio.com/view/subject/s/public/s33733196.jpg,家庭心理百科,                                8.9                        ,[韩]宋炯锡等/송형석/后浪丨九州出版社/2020-11,10位韩国心理精神科专家将多年来患者常见的问题整合筛选，采择出近200条对东亚家庭最具价值的条目，最终完成这一“家家必备的心理急救医药箱”。
https://img2.doubanio.com/view/subject/s/public/s33736762.jpg,日本权力结构之谜,                                8.2                        ,[荷]卡瑞尔·范·沃尔夫伦/中信出版集团/2020-10,从二战战败到21世纪，究竟谁在统治日本？政党、官僚、财阀、司法、黑帮，还是无处不在的“日本文化”？本书为你剖析日本社会运作机制与文化本质。
https://img9.doubanio.com/view/subject/s/public/s33735205.jpg,与人亲密,                                7.5                        ,（美）盖伊·芬利/人民邮电出版社/2020-10,本书就如何建立一段美好而持久的关系分享了见解。通过分析与实践，传达了如何习得相处的艺术，如何疗愈关系创伤，并拥有持久、稳定的亲密关系。
https://img2.doubanio.com/view/subject/s/public/s33748142.jpg,领悟方法,,[美]约翰·李维·马丁/重庆大学出版社/2020-10-1,本书关注的是研究者需要进行的各种实际决策：到哪儿去找寻你所需要的资料？你所找到的资料与可能收集到的资料整体之间有何种关联？
https://img9.doubanio.com/view/subject/s/public/s33746864.jpg,衰世与西法,                                评价人数不足                        ,杨国强/一頁folio|广西师范大学出版社/2020-10,从1860年庚申事变（火烧圆明园）到甲午战争清朝一败涂地，短短数十年，关联着千百万人的死亡，几亿人生活方式和心灵秩序的变化，而这一切有着何种内在的因果？
https://img1.doubanio.com/view/subject/s/public/s33719378.jpg,树木,                                10.0                        ,[波兰]彼得·索哈/[波兰]沃依切赫·格拉伊科夫斯基/后浪丨浙江教育出版社/2020-11,关于树木的一切，和扎根其中的人类文明史：融合自然、历史、文化的大开本手绘百科。屡获大奖的“最美童书”，已被翻译成近20种语言。
https://img2.doubanio.com/view/subject/s/public/s33718343.jpg,北欧神话,,(德)保罗·赫尔曼/上海人民出版社/2020-10,一部北欧神话的大百科全书。破解热门大IP背后的文化符号，感受奇幻世界源头之美。
https://img2.doubanio.com/view/subject/s/public/s33726283.jpg,迈向思辨实在论,                                评价人数不足                        ,[美]格拉汉姆·哈曼/拜德雅|长江文艺出版社/2020-10,本书收录了当代著名哲学家格拉汉姆•哈曼在1997—2009年的11篇论文和讲座稿。这11篇文章深入浅出地论述了当今哲学界风头正盛的思辨实在论思潮。
https://img2.doubanio.com/view/subject/s/public/s33719182.jpg,隐在亮光之中,                                评价人数不足                        ,[英]迪克·赫伯迪格/拜德雅|重庆大学出版社/2020-11,作者运用符号学、大众文化理论和后现代主义理论，透析了各式各样的流行事物和文化现象，呈现出一个充满细节的景观。
https://img1.doubanio.com/view/subject/s/public/s33759697.jpg,推特治国,                                8.8                        ,雅各布·哈克/保罗·皮尔森/当代世界出版社/2020-10,为什么不仅总统是靠不住的，美国宪法也在制造“少数人的暴政”？本书将带你看透美国政治生态、美式民主自由的局限，看清当前西方面临的多重矛盾和困境。
https://img9.doubanio.com/view/subject/s/public/s33729086.jpg,现代性的隐忧,                                评价人数不足                        ,[加]查尔斯·泰勒/南京大学出版社/2020-10,本书探讨了当代文化和社会的重要特点：个人主义、工具理性的统治，以及人们在当代政治生活中的无助感。他指出这些问题背后真正值得挽救的道德理想——本真性。
https://img1.doubanio.com/view/subject/s/public/s33747378.jpg,神武军容耀天威,                                8.3                        ,[美]鲁大维/社会科学文献出版社/2020-10,明廷为展现王朝实力和军事力量，赞助了盛大的尚武活动。在明朝的头两百年，皇室田猎、马球比赛、射艺比武……数次激起争议，构成一个充满张力的领域。
https://img3.doubanio.com/view/subject/s/public/s33699820.jpg,夏洛克·福尔摩斯的科学,                                7.8                        ,[美]E.J.瓦格纳/南京大学出版社/2020-11,本书以大侦探福尔摩斯的非凡冒险为出发点，不断穿梭于小说与历史之间，为理解福尔摩斯的故事和现代法医侦查提供了新的视角。
https://img1.doubanio.com/view/subject/s/public/s33734319.jpg,人类简史（知识漫画）：人类的诞生,                                9.4                        ,[以色列]尤瓦尔•赫拉利（YuvalNoahHarari）/[比利时]戴维•范德默伦（DavidVandermeulen）/[法]达尼埃尔•卡萨纳韦（DanielCasanave）/中信出版集团/2020-10-9,《人类简史》知识漫画，改编自全球畅销书《人类简史：从动物到上帝》。将戏剧性叙事、分镜设计与丰富知识完美配合，布局巧妙，画风精美，场景带入感十足。
https://img2.doubanio.com/view/subject/s/public/s33720763.jpg,到十九号房间去,                                8.5                        ,[英]多丽丝·莱辛/人民文学出版社/2020-10,多丽丝·莱辛短篇代表作，国内首次译介。莱辛道出人际关系中的激情与困惑，在冷静地剖解日常中，竖起一面镜子，便于人们对镜自照。
https://img9.doubanio.com/view/subject/s/public/s33760385.jpg,我的妹妹是连环杀手,                                评价人数不足                        ,[尼日利亚]欧因坎·布雷思韦特/一頁folio|广西师范大学出版社/2020-12-1,护士珂瑞蒂意识到，自己漂亮的妹妹阿尤拉是个连环杀手：跟她约会的男子相继离奇死亡，而珂瑞蒂只能一次次帮忙处理现场……一个充满杀戮但让人发笑的故事。
https://img1.doubanio.com/view/subject/s/public/s33743519.jpg,是或一点也不,                                8.0                        ,黄国峻/后浪丨中国友谊出版公司/2020-11,台湾作家黄国峻的遗作，共收录小说12篇，故事8篇，短文5篇。其作品主题多为爱情，呈现男女情感与情欲问题的多种样貌。
https://img1.doubanio.com/view/subject/s/public/s33743517.jpg,盲目地注视,                                7.2                        ,黄国峻/后浪丨中国友谊出版公司/2020-11,台湾作家黄国峻短篇小说集，试图从童话、寓言、传说等充满野性力量的民间文学中萃取精华，为其文学注入生命力与新格局。
https://img2.doubanio.com/view/subject/s/public/s33754962.jpg,水库13,                                评价人数不足                        ,[英]乔恩·麦格雷戈/上海人民出版社/2020-11,13岁少女丽贝卡•肖随父母来到英格兰中部山区度假却意外失踪，搜救一无所获。此后的13年间，她的失踪似乎成了一道阴影，深深嵌入日常生活的肌理。
https://img9.doubanio.com/view/subject/s/public/s33750594.jpg,尼尔·盖曼的DC宇宙,                                评价人数不足                        ,[英]尼尔·盖曼/后浪丨四川美术出版社/2020-12,收录尼尔·盖曼八部超级英雄短篇，包括《蝙蝠侠：披风斗士到底怎么了？》《绿灯侠/超人：绿焰传奇》。
https://img9.doubanio.com/view/subject/s/public/s33737304.jpg,克里斯托弗和他的同类,,[美]克里斯托弗·伊舍伍德/上海译文出版社/2020-10-31,伊舍伍德的自传体代表作。小说记录了伊舍伍德在一九三〇年代游历欧洲的见闻，以“外乡人”“少数派”的冷静边缘视角，记录下二战自酝酿到爆发期间的种种乱象。
https://img9.doubanio.com/view/subject/s/public/s33734615.jpg,好结局,                                9.0                        ,伍子豪/人民文学出版社/2020-10,乡镇赌徒、游戏成瘾者、秘密特工、精神分裂症患者……从现实主义的小镇兴衰，到想象力奇诡的迷幻梦境，将读者带进荒诞又跌入真实。
https://img3.doubanio.com/view/subject/s/public/s33756541.jpg,候场,                                8.0                        ,李诞/上海文艺出版社/2020-11,李诞写了一个叫“李诞”的人：“一个在迅速扩张的大时代，一个懵懵懂懂踏入名利场的年轻人，度过激流勇进浑浑噩噩指东打西的短暂人生的成功人士，通过他的观察为我们写下了...
https://img3.doubanio.com/view/subject/s/public/s33723550.jpg,六异录,                                8.2                        ,朱大可/中信出版集团/2020-10,由六个独立又相互映照的故事组成。作者朱大可重返东方传统文化源头，以感官“六识”——眼耳鼻舌身意为框架，书写了由感官驱动迸发而来的各类欲望故事。
https://img9.doubanio.com/view/subject/s/public/s33755936.jpg,爱妻,                                评价人数不足                        ,董启章/后浪丨九州出版社/2020-12,大学教授佘梓言在作家妻子龙钰文离港赴英一年期间，与妻保持密集的电子邮件和电话交流。但另一方面，佘梓言独身在港，身体却开始发出警讯……
https://img9.doubanio.com/view/subject/s/public/s33732406.jpg,加斯顿,                                8.9                        ,[比利时］安德烈·弗朗甘/[比利时］纪德海姆/后浪丨湖南美术出版社/2020-11,经典幽默漫画《加斯顿》国内首次出版。加斯顿是一个办公室小职员，他懒，无所事事；鬼点子多，爱发明创造，然而总是以失败告终。轻易不动手工作，动则搞砸一切！
https://img1.doubanio.com/view/subject/s/public/s33754258.jpg,混沌,                                7.3                        ,[日]梦枕貘/[日]松本大洋/四川美术出版社/2020-10,《阴阳师》作者梦枕貘与《星之子》作者松本大洋强强联手，以《庄子》中的神话故事为基础，打造奇幻绘本。
https://img1.doubanio.com/view/subject/s/public/s33734597.jpg,天鹅图腾,                                8.9                        ,姜戎/北京十月文艺出版社/2020-10-1,《狼图腾》作者姜戎新作。“狼图腾是黑色的，天鹅图腾是白色的。狼图腾象征着自由与刚勇，天鹅图腾象征着爱与美，两个图腾像太极图般交融。”
https://img3.doubanio.com/view/subject/s/public/s33736770.jpg,感谢火,                                评价人数不足                        ,[乌拉圭]马里奥·贝内德蒂/作家出版社/2020-10,年过中年的拉蒙·布迪纽不仅要“对抗”一个失职的父亲，还要忍受冷漠的妻子以及无法沟通的孩子。他回溯以往的人生，试图找到那个出错的时刻，并将自己的生活带回正轨。
https://img2.doubanio.com/view/subject/s/public/s33735343.jpg,梦之囚徒：颠倒黑白,                                9.0                        ,[法]马克-安托万·马修/后浪丨上海文化出版社/2020-11,阿克法克从梦中惊醒跌下床来，发现一切都是颠倒的。他想要面朝镜子时却背对着镜子，胡子越刮越长，在早上的时候跟人说“晚安”……
https://img9.doubanio.com/view/subject/s/public/s33736356.jpg,浪击而不沉,,[日]原田舞叶/新星出版社/2020-11,以巴黎为舞台，四个孤高的男人用灵魂的共鸣和命运般的羁绊，写就了感人至深的骄傲与爱的故事。
https://img9.doubanio.com/view/subject/s/public/s33747394.jpg,以她之名,                                9.3                        ,苏童/浙江人民出版社/2020-10,苏童亲自编选的一部以女性为主角的短篇小说集。苏童笔下的女人无不张扬着原始的生命力，他设身处地地摹写了众多沉默女性内心的苦楚和孤独。
https://img3.doubanio.com/view/subject/s/public/s33722591.jpg,八百万个老爸在路上,                                评价人数不足                        ,（德）西比勒·列维查洛芙/北京联合出版公司/2020-10-1,一对来自德国斯图加特的姐妹，因为父亲移灵而踏上祖国保加利亚。司机鲁门一路歌颂保加利亚，彻底挑起妹妹对父亲及其祖国保加利亚长期隐忍的爱与恨。
https://img1.doubanio.com/view/subject/s/public/s33741779.jpg,草灵,                                评价人数不足                        ,赵兰振/后浪丨四川文艺出版社/2020-11,这是一部中短篇小说集。作者以孩童的目光展现一个既淳朴又潜藏残酷的乡土世界。在平凡的故事中注入魔幻与灵性的元素，生动、细腻、幽默，且不失悲悯与反思力度。
